,sample,sex,pop,pop_name,superpop,superpop_name
318,HG01437,male,CLM,Colombian,AMR,American Ancestry
319,HG01988,male,ACB,African Caribbean,AFR,African Ancestry
320,HG01444,female,CLM,Colombian,AMR,American Ancestry
321,HG02049,female,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
322,HG01456,female,CLM,Colombian,AMR,American Ancestry
323,HG02051,male,ACB,African Caribbean,AFR,African Ancestry
324,HG01463,female,CLM,Colombian,AMR,American Ancestry
325,HG02056,male,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
326,HG01468,female,CLM,Colombian,AMR,American Ancestry
327,HG02068,female,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
328,HG02070,male,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
329,HG02138,male,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
330,HG01494,male,CLM,Colombian,AMR,American Ancestry
331,HG02140,female,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
332,HG01499,male,CLM,Colombian,AMR,American Ancestry
333,HG02145,male,ACB,African Caribbean,AFR,African Ancestry
334,HG01502,male,IBS,Iberian,EUR,European Ancestry
335,HG02152,female,CDX,Dai Chinese,EAS,East Asian Ancestry
336,HG01595,female,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
337,HG02164,female,CDX,Dai Chinese,EAS,East Asian Ancestry
338,HG01603,male,IBS,Iberian,EUR,European Ancestry
339,HG01608,male,IBS,Iberian,EUR,European Ancestry
340,HG01610,male,IBS,Iberian,EUR,European Ancestry
341,HG02188,female,CDX,Dai Chinese,EAS,East Asian Ancestry
342,HG01507,female,IBS,Iberian,EUR,European Ancestry
343,HG02190,female,CDX,Dai Chinese,EAS,East Asian Ancestry
344,HG01514,female,IBS,Iberian,EUR,European Ancestry
345,HG02215,female,GBR,British,EUR,European Ancestry
346,HG01519,female,IBS,Iberian,EUR,European Ancestry
347,HG01990,male,ACB,African Caribbean,AFR,African Ancestry
348,HG01521,male,IBS,Iberian,EUR,European Ancestry
349,HG01526,male,IBS,Iberian,EUR,European Ancestry
350,HG02006,female,PEL,Peruvian,AMR,American Ancestry
351,HG01704,female,IBS,Iberian,EUR,European Ancestry
